dataset,n,model,ll_mean,ll_sd,n_trials
news,10,L1,-11.39552109095104,0.16739872037702802,10
news,10,L2,-12.97177219950743,0.12665331792104165,10
news,10,our,-9.706809518725262,0.2583519418211366,10
news,10,pl,-12.760282534646574,0.1234289099734521,10
news,10,pl_reg,-12.77235734163063,0.10301095988985097,10
news,10,tau,-11.709203168168424,0.12785392909543478,10
sushi,10,L1,-14.948630657360635,0.012221516958491536,10
sushi,10,L2,-14.933499732210489,0.018680019876006135,10
sushi,10,our,-15.010191270442325,0.023420572621025523,10
sushi,10,pl,-14.53358484190421,0.32018525378319157,10
sushi,10,pl_reg,-14.30623394672647,0.03156904877102653,10
sushi,10,tau,-14.638834933069157,0.01714851246875212,10
