dataset,n,trial,alpha_min,alpha_hat,beta_hat,kendall_tau,top1_hit_rate,loglik
sushi,10,0,0.01,0.26782996683443566,0.1505155184118212,0.041333333333333326,0.084,-15.043154609497467
sushi,10,0,0.05,0.26792320421039906,0.15047525535424688,0.041333333333333326,0.084,-15.04315338505787
sushi,10,0,0.1,0.26779929673072345,0.15052136482256576,0.041333333333333326,0.084,-15.04315802416557
sushi,10,0,0.2,0.2680777505948605,0.1505073798261649,0.041333333333333326,0.084,-15.04311110178357
sushi,10,0,0.5,0.5000015293966166,0.08051383875447228,0.04240000000000001,0.084,-15.02231660667365
sushi,10,1,0.01,0.23588400754500127,0.15332772983360285,0.03502222222222222,0.074,-15.01767845106086
sushi,10,1,0.05,0.2358368226230757,0.15333768085625504,0.03502222222222222,0.074,-15.017684662121702
sushi,10,1,0.1,0.2359764811660989,0.15327289217177403,0.03502222222222222,0.074,-15.017686273449645
sushi,10,1,0.2,0.2574906684318942,0.14468349567089775,0.03493333333333333,0.074,-15.019582667466937
sushi,10,1,0.5,0.5000000061908215,0.07388993579073486,0.03084444444444444,0.074,-15.023540327297766
news,10,0,0.01,0.12078354363716941,1.4819313549544988,0.36417777777777777,0.536,-8.961106098486995
news,10,0,0.05,0.12076846856576534,1.481961257119216,0.36417777777777777,0.536,-8.961106506704576
news,10,0,0.1,0.12076458868137291,1.4819690332578555,0.36417777777777777,0.536,-8.961106279652872
news,10,0,0.2,0.2000000000183334,1.3373643261508301,0.3698666666666667,0.536,-8.818076038786554
news,10,0,0.5,0.5000000000133175,0.8550819342090635,0.37039999999999995,0.49,-9.20183014524442
news,10,1,0.01,0.13157941764013434,1.4868212325506367,0.33333333333333326,0.504,-9.389823975882472
news,10,1,0.05,0.13157612649423078,1.4868277878656426,0.33333333333333326,0.504,-9.389823527877402
news,10,1,0.1,0.13157499589804952,1.4868301228531542,0.33333333333333326,0.504,-9.389823054747607
news,10,1,0.2,0.20000000009198757,1.362217806039343,0.3386666666666666,0.498,-9.274002991712315
news,10,1,0.5,0.5000000200399465,0.879904688759335,0.3424,0.47,-9.650014457483397
